capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
mod/data:exportownentry,X,NULL,X,"X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/data:exportuserinfo,X,NULL,X,"X,X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:managecomments,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:manageentries,X,NULL,X,"X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:managetemplates,X,NULL,X,"X,X,X","X,X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:manageuserpresets,X,NULL,NULL,NULL,"X,X,X,X",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
mod/data:rate,X,NULL,X,"X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:viewallratings,X,NULL,X,"X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:viewalluserpresets,X,NULL,X,X,"X,X,X,X,X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:viewanyrating,X,NULL,X,"X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
