capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
mod/hsuforum:viewhiddentimedposts,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:viewposters,X,NULL,X,X,X,X,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:viewqandawithoutposting,X,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:viewrating,X,NULL,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:viewsubscribers,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/imscp:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/imscp:view,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
mod/label:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/lesson:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/lesson:edit,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/lesson:grade,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/lesson:manage,X,NULL,X,X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/lesson:manageoverrides,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/lesson:viewreports,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/lightboxgallery:addcomment,X,NULL,X,X,X,X,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/lightboxgallery:addimage,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/lightboxgallery:addinstance,X,NULL,"X,X",NULL,"X,X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL
mod/lightboxgallery:edit,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/lightboxgallery:submit,X,NULL,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/lightboxgallery:viewcomments,X,NULL,X,X,X,X,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/lti:addcoursetool,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/lti:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/lti:manage,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/lti:requesttooladd,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/lti:view,X,NULL,X,X,"X,X",X,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/page:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/page:view,NULL,NULL,NULL,NULL,"X,X,X,X,X,X,X,X",X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
mod/questionnaire:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/questionnaire:createpublic,X,X,"X,X,X,X,X,X,X,X",X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:createtemplates,X,X,"X,X,X,X,X,X,X,X",X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:deleteresponses,X,NULL,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,"X,X,X,X,X,X",NULL,X,NULL,"X,X",NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:downloadresponses,X,NULL,"X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:editquestions,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:manage,X,X,"X,X,X,X,X,X,X,X","X,X","X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:message,X,NULL,X,"X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:preview,X,X,X,"X,X","X,X",NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:printblank,X,X,"X,X,X,X,X,X,X,X","X,X","X,X,X,X",NULL,X,X,"X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/questionnaire:readallresponseanytime,X,NULL,"X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:readallresponses,X,NULL,"X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/questionnaire:readownresponses,X,NULL,"X,X,X,X,X,X,X,X,X","X,X,X","X,X,X,X,X,X,X,X",NULL,NULL,X,"X,X,X",NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/questionnaire:submit,X,NULL,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X","X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/questionnaire:view,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X",NULL,X,X,"X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/questionnaire:viewsingleresponse,X,NULL,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/quiz:attempt,NULL,X,"X,X","X,X","X,X,X,X",NULL,"X,X","X,X",X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/quiz:deleteattempts,X,X,"X,X,X","X,X",X,NULL,"X,X,X","X,X",NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:emailconfirmsubmission,NULL,X,"X,X","X,X,X,X","X,X",NULL,"X,X","X,X",NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mod/quiz:emailnotifysubmission,NULL,X,"X,X,X,X","X,X,X","X,X",NULL,"X,X","X,X",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:emailwarnoverdue,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mod/quiz:grade,X,X,"X,X,X","X,X,X","X,X",NULL,"X,X,X","X,X",NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:ignoretimelimits,NULL,X,"X,X","X,X","X,X",NULL,"X,X","X,X",NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mod/quiz:manage,X,X,"X,X,X","X,X","X,X",NULL,"X,X,X","X,X",NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:manageoverrides,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:preview,X,X,"X,X,X","X,X,X","X,X",NULL,"X,X,X","X,X",NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:regrade,NULL,X,"X,X,X","X,X","X,X",NULL,"X,X,X","X,X",NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/quiz:reviewmyattempts,NULL,X,"X,X","X,X","X,X,X",NULL,"X,X","X,X,X",X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/quiz:view,X,X,"X,X,X","X,X,X","X,X,X","X,X","X,X,X","X,X,X",X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/quiz:viewreports,X,X,"X,X,X,X,X,X","X,X,X,X,X",X,NULL,"X,X,X","X,X",NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,"X,X",NULL,NULL,NULL,NULL
mod/resource:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/resource:view,NULL,NULL,NULL,NULL,"X,X",X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
mod/scheduler:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/scheduler:appoint,X,X,"X,X,X",X,"X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:attend,X,X,X,X,"X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:canscheduletootherteachers,X,X,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:canseeotherteachersbooking,X,X,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:disengage,X,X,X,X,"X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:manage,X,X,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:manageallappointments,X,X,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:seeotherstudentsbooking,X,X,X,X,"X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:seeotherstudentsresults,X,X,X,X,"X,X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scheduler:seeoverviewoutsideactivity,X,X,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/scheduler:viewslots,X,X,"X,X,X",X,"X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scorm:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/scorm:deleteownresponses,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mod/scorm:deleteresponses,X,NULL,X,X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/scorm:savetrack,X,NULL,X,X,"X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/scorm:skipview,NULL,NULL,NULL,NULL,"X,X",NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/scorm:viewreport,X,NULL,X,X,"X,X",NULL,"X,X,X,X",NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL
mod/scorm:viewscores,X,NULL,"X,X",X,"X,X,X",NULL,"X,X,X,X,X",NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/survey:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/survey:download,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/survey:participate,X,NULL,X,X,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/survey:readresponses,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/turnitintooltwo:addinstance,X,NULL,"X,X",NULL,"X,X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL
mod/turnitintooltwo:grade,NULL,X,"X,X,X,X","X,X,X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,NULL,NULL,NULL,X,NULL,X,NULL,NULL
mod/turnitintooltwo:read,NULL,NULL,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,X,X,X
mod/turnitintooltwo:submit,NULL,NULL,X,X,X,NULL,NULL,X,"X,X,X",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mod/turnitintooltwo:view,NULL,NULL,X,X,X,X,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,X,X,X
mod/url:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/url:view,NULL,NULL,NULL,NULL,X,X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
mod/wiki:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/wiki:createpage,X,NULL,X,X,"X,X,X,X,X,X,X,X",NULL,X,"X,X","X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/wiki:editcomment,X,NULL,X,X,"X,X,X",NULL,X,X,"X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
